Identifier,ARN,Resource type,Region,AWS account,Application,LastReportedAt,Service,Tags,Tag:sec:data-classification,Tag:ops:tfe_workspace,Tag:map-migrated,Tag:ops:environment,Tag:ops:tf_module,Tag:org:business-area,Tag:ops:status,Tag:ops:platform,Tag:sec:regulated,Tag:ops:managed-by,Tag:sec:territory,Tag:org:team,Tag:ops:region,Tag:org:department,Tag:org:division
restapis/b68dvu4ohl/resources/ytft7i,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/ytft7i,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:48 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/d11zpyjer5/resources/9x6slu,arn:aws:apigateway:eu-west-2::/restapis/d11zpyjer5/resources/9x6slu,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:49 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/resources/letsjs,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/letsjs,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:46 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/kz0pfb,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/kz0pfb,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:42 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/ou62p5/methods/GET,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/ou62p5/methods/GET,apigateway:restapis/resources/methods,eu-west-2,658499212567,-,Sat Jan 24 2026 23:36:19 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/ehl48h,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/ehl48h,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:41 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/jttz8k,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/jttz8k,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:41 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/b68dvu4ohl/resources/glsx1f,arn:aws:apigateway:eu-west-2::/restapis/b68dvu4ohl/resources/glsx1f,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:46 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/0ox4x7/methods/GET,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/0ox4x7/methods/GET,apigateway:restapis/resources/methods,eu-west-2,658499212567,-,Sat Jan 24 2026 23:36:10 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
restapis/25s65e3wn9/resources/zvfeic,arn:aws:apigateway:eu-west-2::/restapis/25s65e3wn9/resources/zvfeic,apigateway:restapis/resources,eu-west-2,658499212567,-,Mon Jan 26 2026 07:24:44 GMT+0000 (Greenwich Mean Time),apigateway,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
