"resourceName","resourceId","configuration.runtime","configuration.memorySize","configuration.timeout","configuration.ephemeralStorage.size","configuration.architectures","configuration.vpcConfig","configuration.reservedConcurrentExecutions","configuration.tracingConfig.mode","configuration.layers","configuration.role"
"aws-controltower-NotificationForwarder","aws-controltower-NotificationForwarder","python3.13",128,60,512,"x86_64","{""securityGroupIds"":[],""ipv6AllowedForDualStack"":false,""subnetIds"":[]}","-","PassThrough","-","arn:aws:iam::658499212567:role/aws-controltower-ForwardSnsNotificationRole"
"persona-transformer","persona-transformer","-",6144,900,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_persona-transformer"
"personalisation-lobby-because-you-played","personalisation-lobby-because-you-played","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-because-you-played"
"personalisation-lobby-because-you-played-ts","personalisation-lobby-because-you-played-ts","nodejs20.x",256,360,512,"x86_64","-","-","PassThrough","{""arn"":""arn:aws:lambda:eu-west-2:658499212567:layer:os-client:36"",""codeSize"":27827502}","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-because-you-played-ts"
"personalisation-lobby-categories-rs","personalisation-lobby-categories-rs","provided.al2023",128,360,512,"arm64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-categories-rs"
"personalisation-lobby-categories-ts","personalisation-lobby-categories-ts","nodejs20.x",256,360,512,"x86_64","-","-","PassThrough","{""arn"":""arn:aws:lambda:eu-west-2:658499212567:layer:os-client:36"",""codeSize"":27827502}","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-categories-ts"
"personalisation-lobby-game-config","personalisation-lobby-game-config","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-game-config"
"personalisation-lobby-game-config-rs","personalisation-lobby-game-config-rs","provided.al2023",128,360,512,"arm64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-game-config-rs"
"personalisation-lobby-game-config-ts","personalisation-lobby-game-config-ts","nodejs20.x",256,360,512,"x86_64","-","-","PassThrough","{""arn"":""arn:aws:lambda:eu-west-2:658499212567:layer:os-client:36"",""codeSize"":27827502}","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-game-config-ts"
"personalisation-lobby-game-info","personalisation-lobby-game-info","-",256,360,512,"x86_64","-","-","PassThrough","-","arn:aws:iam::658499212567:role/r_lambda_personalisation-lobby-game-info"
