Identifier,ARN,Resource type,Region,AWS account,Application,LastReportedAt,Service,Tags,Tag:sec:data-classification,Tag:ops:tfe_workspace,Tag:map-migrated,Tag:ops:environment,Tag:org:business-area,Tag:ops:status,Tag:ops:platform,Tag:sec:regulated,Tag:ops:managed-by,Tag:sec:territory,Tag:org:team,Tag:ops:region,Tag:org:department,Tag:org:division,Tag:app:name,Tag:ops:tf_module,Tag:aws:cloudformation:stack-id,Tag:aws:cloudformation:logical-id,Tag:aws:cloudformation:stack-name
personalisation-lobby-get-bulk-game-data-ts,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-get-bulk-game-data-ts,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:21 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,get-bulk-game-data-ts,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-variant,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-variant,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:29 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,variant,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-historical-game-titles-handler-ts,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-historical-game-titles-handler-ts,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:23 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,historical-game-titles-handler-ts,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-recently-played,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-recently-played,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:23 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,recently-played,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-game-shuffle,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-game-shuffle,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:22 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,game-shuffle,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-old-search-ts,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-old-search-ts,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:20 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,old-search-ts,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-os-auto-scaler,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-os-auto-scaler,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:30 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,os-auto-scaler,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-mini-games,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-mini-games,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:21 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,mini-games,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-historical-game-titles,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-historical-game-titles,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:27 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,historical-game-titles,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-section-games-ts,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-section-games-ts,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:25 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,section-games-ts,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
personalisation-lobby-game-titles-rs,arn:aws:lambda:eu-west-2:658499212567:function:personalisation-lobby-game-titles-rs,lambda:function,eu-west-2,658499212567,-,Tue Jan 27 2026 20:43:20 GMT+0000 (Greenwich Mean Time),lambda,16,private,terraform-aws-excite-prod-eu00,mig9N7YJ8QM5D,prod,Excite Development,live-hidden,Excite,true,terraform,EU,Excite Platform Engineering,eu-west-2,Excite Platform,Technology,game-titles-rs,terraform-aws-lambda-mod,(not tagged),(not tagged),(not tagged)
