health status index                                                              uuid                   pri rep docs.count docs.deleted store.size pri.store.size
green  open   vitruvian-ml-eu-games-recommender-v2                               CIBTxFABRFeBB33oig7F6A   3   2    2026612       423459     49.8gb         17.7gb
green  open   ml-recently-played                                                 S9aJNTEGS26Hzu2ppv_4UQ   1   2    1767483       334671     28.6gb          7.6gb
green  open   vitruvian-ai-because-you-played-x-recommendations-v1               eAeQW1nbTQyZxzcV42ElWA   3   2    1370814       151494      8.9gb          2.9gb
green  open   vitruvian-ai-because-you-played-z-recommendations-v1               wU72BrA-SOSgybkdhRF77w   3   2    1155317       254473      8.1gb          2.7gb
green  open   vitruvian-ai-because-you-played-y-recommendations-v1               vlzEs9hOQ4qIrdNtT8elWQ   3   2    1094475       233749      7.5gb          2.5gb
green  open   vitruvian-ml-eu-games-recommender-content-based-recommendations-v1 N22vOWPVT3CQUnX8SJI1gQ   3   2    1407135        97033        7gb          2.3gb
green  open   games-v2                                                           AxbhNj_5TV2md8F7L96xSw   1   2      23170         1584    119.7mb           40mb
green  open   ab-variants                                                        S2YiL9ZMRfqdHxMrFVdrgw   1   2     620907            0    112.1mb         37.6mb
green  open   games                                                              a6t_CtZFRxinUBATEoYD5Q   1   2      23163           62     98.1mb         32.7mb
green  open   vitruvian-ai-games-similarity-v1                                   TIYp0gFFSXeiMhEq6ULdGg   3   2       3239            0     28.3mb          9.4mb
green  open   sections                                                           Tc6GjpzzSLOo9CEBXKQn4A   1   2       5453          242     28.2mb          9.4mb
green  open   game-sections                                                      waxEtMS6ReaonS76UU8ZEQ   1   2       1365           85     13.7mb          4.5mb
green  open   games-archived                                                     e1bMxjw9QLWQAQxbsEOT8w   1   2        330           11        2mb        703.5kb
green  open   games-archived-v2                                                  Kyp3XTrVQm683kI_Lh9Uvg   1   2        337           18      1.9mb        674.9kb
green  open   layouts                                                            dn_oWsJFSR-1gSUsRaZYig   1   2        407           16      1.9mb        662.8kb
green  open   marketing-sections                                                 vjQLLnHfQkWlIZRm11C2bA   1   2        810           52      1.6mb        559.2kb
green  open   ml-game-shuffle                                                    bKADvsTtQ7eJ05EN2EQABA   1   2       2812            6      1.1mb        395.4kb
green  open   views                                                              DZPmv-AuRPOgFCor_8kFsg   1   2        168            8    972.7kb        417.9kb
green  open   navigation                                                         CStg-vpQTt6me5sM_1w4ug   1   2        428           11    850.5kb        283.5kb
green  open   categories                                                         jAFFDD4KT3O4LTa-M8MABg   1   2        350           19    783.8kb        261.2kb
green  open   ml-personalised-sections                                           xuvIzTmWSaabDWMFx2IVUw   1   2         41            2    547.3kb        182.4kb
green  open   personalisation-defaults                                           jqViOmnSSCyXPcAuBNXA_w   1   2          8            0    295.5kb         98.5kb
green  open   migrations                                                         Srpd_vPHRpiBqO7gziPyDw   5   2         24            0    292.4kb         97.4kb
green  open   .plugins-ml-model                                                  oRPI2l6nSRavys6PbjeTxQ   1   2          1            0    217.7kb         27.4kb
green  open   .opendistro_security                                               TGreK3FLSwGWSGnkxbrLng   1   2         10            0    186.7kb         62.2kb
green  open   ventures                                                           HbFygEjqTbWhrOPDCfLS5Q   1   2         21            2    175.2kb         58.4kb
green  open   ml-personalised-sections-defaults                                  uFhto3EITsq2XjQ6SXVl-Q   1   2          8            2    159.2kb           53kb
green  open   .plugins-ml-stop-words                                             pyf86HG-QlukfQxOrr7Kmg   5   2        180            0    122.8kb         40.9kb
green  open   personalised-sections                                              yYWUWYWxSqmfFdVNczxVLg   1   2         16            0     96.8kb         32.2kb
green  open   .plugins-ml-task                                                   Jhq3SG42QiapOS1QDbHLrg   1   2         51            0     91.4kb         24.7kb
green  open   .plugins-ml-agent                                                  Dc7_WhJ3Qg2EQTpOEptIuA   1   2          1            0     50.3kb         16.7kb
green  open   .tasks                                                             ah0Sh7d0RReraM-6xDl-Qw   1   2          2            0     49.7kb         16.5kb
green  open   .kibana_1                                                          PyOrA1qORUqSh4wqmATivQ   1   2          2            0     31.1kb         10.3kb
green  open   .plugins-ml-config                                                 8imdMC6BR_K-dgIt6CHR7Q   1   2          2            0     27.5kb          9.1kb
green  open   .plugins-flow-framework-templates                                  EF61mxZiRTG1hgDKiXfMEw   5   2          2            0     27.3kb          9.1kb
green  open   .plugins-flow-framework-state                                      yByIfwcDQEqbG7jlVkNKtw   5   2          2            0     24.7kb          8.2kb
green  open   .plugins-ml-model-group                                            _zl6m2uIQ_KpdXL_mozBRA   1   2          1            0     17.9kb          5.9kb
green  open   .opendistro-job-scheduler-lock                                     ZSm67yeuSNeogbK5OrV9TQ   5   2          1            0     17.6kb          5.8kb
green  open   .kibana_264559204_contentful_1                                     _mgIl2t8ThW9AwIlTiXmsw   1   2          1            0     15.6kb          5.2kb
green  open   .kibana_3506402_root_1                                             JlZse8LwQyWHL4KWsigDFA   1   2          1            0     15.6kb          5.2kb
green  open   .plugins-flow-framework-config                                     bPPBWk1nSQysMn-3Uz-4sQ   5   2          1            0     14.2kb          4.7kb
green  open   .ql-datasources                                                    eizq-AtYSXqhhHk-DlBVyg   1   2          0            0       624b           208b
green  open   themes                                                             d9KerVRYTfmIYEB_eqPNmQ   1   2          0            0       624b           208b
green  open   .opensearch-observability                                          tgBpg8OWQDKRITLKBaDTxw   1   2          0            0       624b           208b
