index                                                              shard prirep state      docs    store ip            node
ml-recently-played                                                 0     r      STARTED 1767483   13.1gb x.x.x.x a5d7289b2729c0a489674139b94e1430
ml-recently-played                                                 0     r      STARTED 1767483    7.8gb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
ml-recently-played                                                 0     p      STARTED 1767483    7.6gb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
vitruvian-ml-eu-games-recommender-v2                               0     p      STARTED  674980    6.2gb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
vitruvian-ml-eu-games-recommender-v2                               2     r      STARTED  675527      6gb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
vitruvian-ml-eu-games-recommender-v2                               2     p      STARTED  675527    5.9gb x.x.x.x a5d7289b2729c0a489674139b94e1430
vitruvian-ml-eu-games-recommender-v2                               1     r      STARTED  676105    5.5gb x.x.x.x a5d7289b2729c0a489674139b94e1430
vitruvian-ml-eu-games-recommender-v2                               1     r      STARTED  676105    5.5gb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
vitruvian-ml-eu-games-recommender-v2                               2     r      STARTED  675527    5.5gb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
vitruvian-ml-eu-games-recommender-v2                               1     p      STARTED  676105    5.4gb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
vitruvian-ml-eu-games-recommender-v2                               0     r      STARTED  674980    4.8gb x.x.x.x a5d7289b2729c0a489674139b94e1430
vitruvian-ml-eu-games-recommender-v2                               0     r      STARTED  674980    4.5gb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
vitruvian-ai-because-you-played-x-recommendations-v1               2     r      STARTED  457011   1022mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
vitruvian-ai-because-you-played-x-recommendations-v1               2     r      STARTED  457011   1022mb x.x.x.x a5d7289b2729c0a489674139b94e1430
vitruvian-ai-because-you-played-x-recommendations-v1               2     p      STARTED  457011   1022mb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
vitruvian-ai-because-you-played-x-recommendations-v1               0     p      STARTED  457067 1014.2mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
vitruvian-ai-because-you-played-x-recommendations-v1               0     r      STARTED  457067 1014.2mb x.x.x.x a5d7289b2729c0a489674139b94e1430
vitruvian-ai-because-you-played-x-recommendations-v1               0     r      STARTED  457067 1014.2mb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
vitruvian-ai-because-you-played-x-recommendations-v1               1     r      STARTED  456736 1012.8mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
vitruvian-ai-because-you-played-x-recommendations-v1               1     p      STARTED  456736 1012.8mb x.x.x.x a5d7289b2729c0a489674139b94e1430
vitruvian-ai-because-you-played-x-recommendations-v1               1     r      STARTED  456736 1012.8mb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
vitruvian-ai-because-you-played-z-recommendations-v1               0     r      STARTED  385205  926.9mb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
vitruvian-ai-because-you-played-z-recommendations-v1               0     p      STARTED  385205  926.9mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
vitruvian-ai-because-you-played-z-recommendations-v1               0     r      STARTED  385205  926.9mb x.x.x.x a5d7289b2729c0a489674139b94e1430
vitruvian-ai-because-you-played-z-recommendations-v1               2     r      STARTED  385166  925.7mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
vitruvian-ai-because-you-played-z-recommendations-v1               2     r      STARTED  385166  925.7mb x.x.x.x a5d7289b2729c0a489674139b94e1430
vitruvian-ai-because-you-played-z-recommendations-v1               2     p      STARTED  385166  925.7mb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
vitruvian-ai-because-you-played-z-recommendations-v1               1     r      STARTED  384946  925.3mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
vitruvian-ai-because-you-played-z-recommendations-v1               1     r      STARTED  384946  925.3mb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
vitruvian-ai-because-you-played-z-recommendations-v1               1     p      STARTED  384946  925.3mb x.x.x.x a5d7289b2729c0a489674139b94e1430
vitruvian-ml-eu-games-recommender-content-based-recommendations-v1 1     r      STARTED  469496  894.9mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
vitruvian-ml-eu-games-recommender-content-based-recommendations-v1 1     r      STARTED  469496  894.9mb x.x.x.x a5d7289b2729c0a489674139b94e1430
vitruvian-ml-eu-games-recommender-content-based-recommendations-v1 1     p      STARTED  469496  894.9mb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
vitruvian-ai-because-you-played-y-recommendations-v1               2     p      STARTED  365009  870.2mb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
vitruvian-ai-because-you-played-y-recommendations-v1               2     r      STARTED  365009  870.2mb x.x.x.x a5d7289b2729c0a489674139b94e1430
vitruvian-ai-because-you-played-y-recommendations-v1               2     r      STARTED  365009  870.2mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
vitruvian-ai-because-you-played-y-recommendations-v1               0     r      STARTED  364947  869.7mb x.x.x.x a5d7289b2729c0a489674139b94e1430
vitruvian-ai-because-you-played-y-recommendations-v1               0     p      STARTED  364947  869.7mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
vitruvian-ai-because-you-played-y-recommendations-v1               0     r      STARTED  364947  869.7mb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
vitruvian-ai-because-you-played-y-recommendations-v1               1     p      STARTED  364519    831mb x.x.x.x a5d7289b2729c0a489674139b94e1430
vitruvian-ai-because-you-played-y-recommendations-v1               1     r      STARTED  364519    831mb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
vitruvian-ai-because-you-played-y-recommendations-v1               1     r      STARTED  364519    831mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
vitruvian-ml-eu-games-recommender-content-based-recommendations-v1 2     p      STARTED  469148  752.3mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
vitruvian-ml-eu-games-recommender-content-based-recommendations-v1 2     r      STARTED  469148  752.3mb x.x.x.x a5d7289b2729c0a489674139b94e1430
vitruvian-ml-eu-games-recommender-content-based-recommendations-v1 2     r      STARTED  469148  752.3mb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
vitruvian-ml-eu-games-recommender-content-based-recommendations-v1 0     r      STARTED  468491  751.5mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
vitruvian-ml-eu-games-recommender-content-based-recommendations-v1 0     p      STARTED  468491  751.5mb x.x.x.x a5d7289b2729c0a489674139b94e1430
vitruvian-ml-eu-games-recommender-content-based-recommendations-v1 0     r      STARTED  468491  751.5mb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
games-v2                                                           0     p      STARTED   23170     40mb x.x.x.x a5d7289b2729c0a489674139b94e1430
games-v2                                                           0     r      STARTED   23170   39.8mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
games-v2                                                           0     r      STARTED   23170   39.8mb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
ab-variants                                                        0     p      STARTED  620907   37.6mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
ab-variants                                                        0     r      STARTED  620907   37.2mb x.x.x.x a5d7289b2729c0a489674139b94e1430
ab-variants                                                        0     r      STARTED  620907   37.2mb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
games                                                              0     p      STARTED   23163   32.7mb x.x.x.x a5d7289b2729c0a489674139b94e1430
games                                                              0     r      STARTED   23163   32.6mb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
games                                                              0     r      STARTED   23163   32.6mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
sections                                                           0     r      STARTED    5453    9.4mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
sections                                                           0     p      STARTED    5453    9.4mb x.x.x.x a5d7289b2729c0a489674139b94e1430
sections                                                           0     r      STARTED    5453    9.4mb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
game-sections                                                      0     r      STARTED    1365    4.5mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
game-sections                                                      0     p      STARTED    1365    4.5mb x.x.x.x a5d7289b2729c0a489674139b94e1430
game-sections                                                      0     r      STARTED    1365    4.5mb x.x.x.x 891f0bf787b7cf1decffdbbc0c4babe9
vitruvian-ai-games-similarity-v1                                   0     p      STARTED    1083    3.2mb x.x.x.x 29c0c31e36edd2944b72e345350b35c5
